country,primary_theme,all_themes,text
Belgium,symptoms_presentation,symptoms_presentation,symptoms
United States of America,general_all_across_the_board,general_all_across_the_board,All of the above
United States of America,cardiovascular_female_presentation,cardiovascular_female_presentation;symptoms_presentation,"I have friend who is 42 just had a heart attack and was turned away because her symptoms as a woman were not indicative of an MI, she could have died. She had an emergency stent put in; and readmitted."
United States of America,symptoms_presentation,symptoms_presentation;treatment_access_general,"symptoms, availability of treatment options."
United States of America,mental_health_neurodiversity,mental_health_neurodiversity;intersectional_woc_lmic_age;symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, alternative treatment options, outcomes, age related treatment options, gender affirming care, mental health for those caring for others."
France,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences,symptoms and patient reported outcomes
United Kingdom,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes, patient reported outcomes, preferences)"
India,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences;treatment_access_general,Treatment outcomes
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,IDK
United States of America,other,,I don't really have experience with AI models
Canada,autoimmune,autoimmune;mental_health_neurodiversity;general_all_across_the_board;ai_literacy_unsure_refusal,"not sure, all the above listed  - autoimmune disorders, hormonal imbalance, Bladder inflammatory, mental health"
United States of America,pain_management,pain_management;symptoms_presentation;treatment_access_general,"symptoms, treatment, pain management, and affordability"
United States of America,cardiovascular_female_presentation,cardiovascular_female_presentation;endometriosis_pcos_fibroids;pharmacokinetics_dosing;pain_management;mental_health_neurodiversity,"endometriosis, heart health, homone and endocrine systems, sexual arousal, pain management, mental health, pharma dosages, alzheimers, dementia,"
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Unsure
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Don't know
United States of America,other,,"nutrition, exercise, wellness"
United States of America,menopause_perimenopause,menopause_perimenopause;treatment_access_general,"birth control (complications associated with pills vs vasectomies), treatment of menopause (is there data on what it means, onset, duration, care after?)"
United States of America,symptoms_presentation,symptoms_presentation;treatment_access_general,"insurance coverage, time to receive treatment, treatment duration, QofL, symptoms and symptom management, access to specialists."
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences,"symptoms, preferences"
Japan,symptoms_presentation,symptoms_presentation,Symptoms
United Kingdom,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Unsure
India,treatment_access_general,treatment_access_general,during treatment
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,symptoms and treatment outcomes
Mexico,symptoms_presentation,symptoms_presentation;treatment_access_general,symptoms and then treatments needed for those symptoms.
United States of America,intersectional_woc_lmic_age,intersectional_woc_lmic_age,Women of color
Spain,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences,Preferences
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes"
United States of America,other,,all
United States of America,other,,Needs study
Spain,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences,patient reported outcomes
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;diagnostic_accuracy;treatment_access_general,Symptoms with proper diagnosis and treatment outcomes based on gaps currently present.
Switzerland,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences;treatment_access_general,patient reported outcomes and maybe treatment outcomes
United Kingdom,pharmacokinetics_dosing,pharmacokinetics_dosing;mental_health_neurodiversity;symptoms_presentation;diagnostic_accuracy,"Neurodiversity, medicine dosage, symptoms, behaviours, diagnostic criteria"
United States of America,symptoms_presentation,symptoms_presentation,symptoms
